0	uniprot	bnum
gene1074	P0ABR1	b1061
gene1075	P05020	b1062
gene1076	P0AB26	b1063
gene1077	P0AC59	b1064
gene1078	P69367	b1065
gene1079	P0A948	b1066
gene108	P0AE14	b0111
gene1080	P29217	b1067
gene1081	P75931	b1068
gene1082	P0AF16	b1069
gene1083	P43533	b1070
gene1084	P0AEM4	b1071
gene1085	P75933	b1072
gene1086	P0ABW9	b1073
gene1087	P0ABX2	b1074
gene1088	P75936	b1075
gene1089	P75937	b1076
gene109	P15993	b0112
gene1090	P75938	b1077
gene1091	P0ABX5	b1078
gene1092	P0A6S0	b1079
gene1093	P0A6S3	b1080
gene1094	P75942	b1081
gene1095	P33235	b1082
gene1096	P29744	b1083
gene1097	P21513	b1084
gene1098	P62066	b1085
gene1099	P0AA39	b1086
gene11	P28696	b0013
gene110	P0ACL9	b0113
gene1100	P0A729	b1087
gene1102	P0AB28	b1088
gene1103	P0A7N4	b1089
gene1104	P27247	b1090
gene1105	P0A6R0	b1091
gene1106	P0AAI9	b1092
gene1107	P0AEK2	b1093
gene1108	P0A6A8	b1094
gene1109	P0AAI5	b1095
gene111	P0AFG8	b0114
gene1110	P28305	b1096
gene1111	P28306	b1097
gene1112	P0A720	b1098
gene1113	P28631	b1099
gene1114	P0AFQ7	b1100
gene1115	P69786	b1101
gene1116	P16869	b1102
gene1117	P0ACE7	b1103
gene1118	P75946	b1104
gene1119	P0AB38	b1105
gene112	P06959	b0115
gene1120	P75948	b1106
gene1121	P75949	b1107
gene1122	P0A8E1	b1108
gene1123	P00393	b1109
gene1124	P0AB35	b1110
gene1125	P75952	b1111
gene1126	P0AB40	b1112
gene1127	P75954	b1113
gene1128	P30958	b1114
gene1129	P75955	b1115
gene113	P0A9P0	b0116
gene1130	P0ADC3	b1116
gene1131	P75957	b1117
gene1132	P75958	b1118
gene1133	P75959	b1119
gene1134	P75960	b1120
gene1135	P75961	b1121
gene1136	P75962	b1122
gene1137	P0AFK9	b1123
gene1138	P0AFK6	b1124
gene1139	P0AFK4	b1125
gene114	P36682	b0117
gene1140	P69874	b1126
gene1141	P29745	b1127
gene1142	P27431	b1128
gene1143	P23837	b1129
gene1144	P23836	b1130
gene1145	P0AB89	b1131
gene1146	P25746	b1132
gene1147	P25745	b1133
gene1148	P0AEI6	b1134
gene1149	P75966	b1135
gene115	P36683	b0118
gene1150	P08200	b1136
gene1151	P75967	b1137
gene1152	P75968	b1138
gene1153	P11072	b1139
gene1154	P75969	b1140
gene1155	P75970	b1141
gene1156	P75972	b1143
gene1157	P75973	b1144
gene1158	P75974	b1145
gene1159	P75975	b1146
gene116	P0A8E5	b0119
gene1160	P75976	b1147
gene1161	P75977	b1148
gene1162		b4692
gene1163	P75978	b4693
gene1164	P75979	b1150
gene1165	P75980	b1151
gene1166	P75981	b1152
gene1167	P75982	b1153
gene1168	P45581	b1154
gene1169	P09154	b1155
gene117	P0A7F6	b0120
gene1170	P09153	b1156
gene1171	P33227	b1157
gene1172	P03014	b1158
gene1173	P24200	b1159
gene1174		b4519
gene1175	P75987	b1160
gene1176	P75988	b1161
gene1177	P75989	b1162
gene1178	P75990	b1163
gene1179	P75991	b1164
gene118	P09158	b0121
gene1180	P75992	b1165
gene1181	P75993	b1166
gene1182	P75994	b1167
gene1183	P75995	b1168
gene1184	P58034	b4520
gene1185		b4491
gene1186	P0AB46	b1171
gene1187	Q7DFV3	b1172
gene1188	A5A611	b4593
gene1189	A5A612	b4594
gene119	P0AA95	b0122
gene1190	P76000	b4521
gene1191	P0A734	b1174
gene1192	P0AEZ3	b1175
gene1193	P18196	b1176
gene1194	P76001	b1177
gene1195	P76002	b1178
gene1196	P0AB43	b1179
gene1197	P76004	b1180
gene1198	P0A8L5	b1181
gene1199	P77335	b1182
gene12	P0A6Y8	b0014
gene120	P36649	b0123
gene1200	P0AG11	b1183
gene1201	P04152	b1184
gene1202	P0A6M2	b1185
gene1203	P0AFA7	b1186
gene1204	P0A8V6	b1187
gene1205	P29013	b1188
gene1206	P0A6J5	b1189
gene1207	P29012	b1190
gene1208	P76007	b1191
gene1209	P76008	b1192
gene121	P15877	b0124
gene1210	P0C960	b1193
gene1211	P76010	b1194
gene1212	P76011	b1195
gene1213	P76012	b1196
gene1214	P13482	b1197
gene1215	P37349	b1198
gene1216	P76014	b1199
gene1217	P76015	b1200
gene1218	P76016	b1201
gene1219	P76017	b1202
gene122	P0A9M2	b0125
gene1220	P0ABU2	b1203
gene1221	P0A7D1	b1204
gene1222	P0AB49	b1205
gene1223	P0AFR2	b1206
gene1224	P0A717	b1207
gene1225	P62615	b1208
gene1226	P61320	b1209
gene1227	P0A6X1	b1210
gene1228	P0A7I0	b1211
gene1229	P0ACC1	b1212
gene123	P61517	b0126
gene1230	Q46755	b1213
gene1231	P0AGM5	b1214
gene1232	P0A715	b1215
gene1233	Q6BF86	b4419
gene1235	Q6BF87	b4421
gene1237	Q6BF86	b4423
gene1239	P31801	b1216
gene124	P36879	b0127
gene1240	P0AE63	b1217
gene1241	P39163	b1218
gene1242	P0AB52	b1219
gene1243	P39165	b1220
gene1244	P0AF28	b1221
gene1245	P0AFA2	b1222
gene1246	P10903	b1223
gene1247	P09152	b1224
gene1248	P11349	b1225
gene1249	P0AF26	b1226
gene125	P0AFN6	b0128
gene1250	P11350	b1227
gene1252	P02338	b1229
gene1255	P37051	b1232
gene1256	P37052	b1233
gene1257	P0AFR0	b1234
gene1258	P0AEV1	b1235
gene1259	P0AEP3	b1236
gene126	P36881	b0129
gene1260	P0ACF8	b1237
gene1261	P23331	b1238
gene1262	P30192	b4573
gene1263	P0A9Q7	b1241
gene1264	P25743	b1242
gene1265	P23843	b1243
gene1266	P0AFH2	b1244
gene1267	P0AFH6	b1245
gene1268	P76027	b1246
gene1269	P77737	b1247
gene127	P31666	b0130
gene1270	P0A8L7	b1248
gene1271	P0A6H8	b1249
gene1272	A5A613	b4595
gene1273	P31069	b1250
gene1274	P0AB55	b1251
gene1275	P02929	b1252
gene1276	P0A8Z0	b1253
gene1277	P0A710	b1254
gene1278	P21365	b1255
gene1279	P0A915	b1256
gene128	P0A790	b0131
gene1280	P21363	b1257
gene1281	P21362	b1258
gene1282	P21361	b1259
gene1283	P0A877	b1260
gene1284	P0A879	b1261
gene1285	P00909	b1262
gene1286	P00904	b1263
gene1287	P00895	b1264
gene1288	P0AD92	b1265
gene1289	P77766	b1266
gene129	P31665	b0132
gene1290	P0AFR4	b1267
gene1291	P45848	b1268
gene1292	P37765	b1269
gene1293	P0A9H5	b1270
gene1294	P31808	b1271
gene1295	P0AG14	b1272
gene1296	P0AB61	b1273
gene1297	P06612	b1274
gene1298	P0A9F3	b1275
gene1299	P0CB62	b4522
gene13	P08622	b0015
gene130	P31663	b0133
gene1300	P58094	b4523
gene1301	P25516	b1276
gene1302	P0A7I7	b1277
gene1303	P0A924	b1278
gene1304	P0ACV4	b1279
gene1305	P0AB58	b1280
gene1306	P08244	b1281
gene1307	P08245	b1282
gene1308	P0ADA7	b1283
gene1309	P76034	b1284
gene131	P31057	b0134
gene1310	A5A614	b4596
gene1311	P77334	b1285
gene1312	C1P5Z9	b4672
gene1313	P30850	b1286
gene1314	P76035	b1287
gene1315	P0AEK4	b1288
gene1316	P45736	b1289
gene1317	P0AAH8	b1290
gene1318	P0AAH4	b1291
gene1319	P0AGH5	b1292
gene132	P31058	b0135
gene1320	P0AGH3	b1293
gene1321	Q47622	b1294
gene1322	P0ACV8	b1295
gene1323	P76037	b1296
gene1324	P78061	b1297
gene1325	P76038	b1298
gene1326	P0A9U6	b1299
gene1327	P23883	b1300
gene1328	P37906	b1301
gene1329	P50457	b1302
gene133	P37016	b0136
gene1330	P37344	b1303
gene1331	P0AFM6	b1304
gene1332	P0AFM9	b1305
gene1333	P0AFN2	b1306
gene1334	P0AFV8	b1307
gene1335	P23857	b1308
gene1336	P76041	b1309
gene1337	P76042	b1310
gene1338	P0AFR7	b1311
gene1339	P77716	b1312
gene134	P37017	b0137
gene1340	P76043	b1313
gene1341	P76044	b1314
gene1342	P77503	b1315
gene1343	P77154	b1316
gene1344	P77366	b1317
gene1345	P77481	b4524
gene1346	P76045	b1319
gene1347	P77615	b1320
gene1348	P76046	b1321
gene1349	P0A8R7	b1322
gene135	P37018	b0138
gene1350	P07604	b1323
gene1351	P0A862	b1324
gene1352	P51981	b1325
gene1353	P0ACV6	b1326
gene1354	Q2EER5	b4525
gene1355	P0CD93	b4673
gene1356	P76049	b1327
gene1357	P77333	b1328
gene1358	P77348	b1329
gene1359	P0AEB5	b1330
gene136	P33129	b0139
gene1360	P0CE52	b1331
gene1361	P64445	b1332
gene1362	P0AAC0	b1333
gene1363	P0A9E5	b1334
gene1364	P0AFH0	b1335
gene1365	P46133	b1336
gene1366	P76052	b1337
gene1367	P77357	b1338
gene1368	P77744	b1339
gene137	P33128	b0140
gene1370	P76053	b1340
gene1371	P77302	b1341
gene1372	P64423	b1342
gene1374	P21693	b1343
gene1375	P76055	b1344
gene1376	P76056	b1345
gene1377	P76057	b1346
gene1378	P33230	b1347
gene138	P37050	b0141
gene1380	P33229	b1348
gene1381	P33228	b1349
gene1382	P15032	b1350
gene1383	P15033	b1351
gene1384	P38394	b4526
gene1385	P38393	b1352
gene1386	P38392	b1353
gene1387	P0ACW0	b4527
gene1388	P76061	b1355
gene1389	P76062	b1356
gene139	P26281	b0142
gene1390	P76063	b1357
gene1391	P76064	b1358
gene1392	P76065	b1359
gene1393	P77546	b1360
gene1394	P76066	b1361
gene1395	P77551	b1362
gene1396	P58042	b4528
gene1397	P23849	b1363
gene1398	P76068	b1365
gene1399	P76069	b1366
gene14	P0CF91	b0016
gene140	P0ABF1	b0143
gene1400	P77658	b1368
gene1401	P77184	b4570
gene1402	P0CE53	b1370
gene1403	P76072	b1372
gene1404	P77163	b1373
gene1405	P0ADI0	b1374
gene1406	P76073	b1375
gene1407		b4638
gene1408	P37903	b1376
gene1409	P77747	b1377
gene141	P27305	b0144
gene1411	P52647	b1378
gene1412	P0ACW2	b4529
gene1413	P52644	b1379
gene1414	P52643	b1380
gene1415	P52645	b1381
gene1416	P64448	b1382
gene1417	P76076	b1383
gene1418	Q47129	b1384
gene1419	P80668	b1385
gene142	P0ABS1	b0145
gene1420	P46883	b1386
gene1421	P77455	b1387
gene1422	P76077	b1388
gene1423	P76078	b1389
gene1424	P76079	b1390
gene1425	P76080	b1391
gene1426	P76081	b1392
gene1427	P76082	b1393
gene1428	P77467	b1394
gene1429	P76083	b1395
gene143	P0A823	b0146
gene1430	P76084	b1396
gene1431	P0C7L2	b1397
gene1432	P76085	b1398
gene1433	P76086	b1399
gene1434	P77181	b1400
gene1435	C1P600	b4674
gene1436	P33666	b4492
gene1437	P0CF54	b1402
gene1438	P0CF41	b1403
gene1439	P0CF89	b1404
gene144	P37025	b0147
gene1440	P25906	b1406
gene1441	P25907	b1407
gene1442	P76090	b1408
gene1443	P76091	b1409
gene1444	P76092	b1410
gene1445	P76093	b1411
gene1446	P41407	b1412
gene1447	P43329	b1413
gene1448	P34209	b1414
gene1449	P25553	b1415
gene145	P37024	b0148
gene1450	P33898	b4493
gene1451	P0ABE5	b1418
gene1453	P0ACW4	b1419
gene1454	P77494	b4428
gene1455	P76096	b1420
gene1457	P05704	b1421
gene1458	P77171	b1422
gene1459	P76097	b1423
gene146	P02919	b0149
gene1460	P40120	b1424
gene1461	P0ACW6	b1426
gene1462	P13857	b1427
gene1463	P76100	b1428
gene1464	P25396	b1429
gene1465	P25397	b1430
gene1466	P64451	b1431
gene1467		b4578
gene1468	P76102	b1432
gene1469	P76103	b1433
gene147	P06971	b0150
gene1470	P77626	b1434
gene1471	P76104	b1435
gene1472	P64459	b1436
gene1473	P76106	b4532
gene1474	P67697	b1438
gene1475	P77730	b1439
gene1476	P76108	b1440
gene1477	P77795	b1441
gene1478	P77156	b1442
gene1479	P0AFR9	b1443
gene148	P07821	b0151
gene1480	P77674	b1444
gene1481	A5A615	b4598
gene1482	P64453	b1445
gene1483	P64455	b1446
gene1484	P76111	b1447
gene1485	P76112	b1448
gene1486	P76113	b1449
gene1487	P76114	b1450
gene1488	P76115	b1451
gene1489	P76116	b1452
gene149	P07822	b0152
gene1490	P77610	b1453
gene1491	P76117	b1454
gene1492	P76118	b1455
gene1493	P24211	b1456
gene1494	P31991	b1457
gene1495	P76119	b1459
gene1496	P28917	b1460
gene1497	P31992	b1461
gene1498	P76121	b1462
gene1499	P77567	b1463
gene15	P33236	b0018
gene150	P06972	b0153
gene1500	P37757	b1464
gene1501	P0AF32	b1465
gene1502	P19317	b1466
gene1503	P19318	b1467
gene1504	P19319	b1468
gene1505	P37758	b1469
gene1506	P76123	b1471
gene1507	P77519	b1472
gene1508	P46136	b1473
gene1509	P24183	b1474
gene151	P23893	b0154
gene1510	P0AAJ3	b1475
gene1511	P0AEK7	b1476
gene1512	P67699	b1477
gene1513	P39451	b1478
gene1514	P26616	b1479
gene1515	P68191	b1480
gene1516	P76127	b1481
gene1517	P0C0L2	b1482
gene1518	P77622	b1483
gene1519	P77268	b1484
gene152	P37019	b0155
gene1520	P77463	b1485
gene1521	P77308	b1486
gene1522	P76128	b1487
gene1523	P77790	b1488
gene1524	P76129	b1489
gene1525	P0AA89	b1490
gene1526	P64426	b1491
gene1527	P63235	b1492
gene1528	P69910	b1493
gene1529	P31828	b1494
gene153	P0ACC3	b0156
gene1530	P31827	b1495
gene1531	P31826	b1496
gene1532	P76134	b1497
gene1533	P77318	b1498
gene1534	P76135	b1499
gene1535	P76136	b1500
gene1536	P77561	b1501
gene1537	P77588	b1502
gene1538	P77294	b1503
gene1539	P77789	b1504
gene154	P0AFP0	b0157
gene1540	P76137	b1505
gene1541	P76138	b1506
gene1542	P23874	b1507
gene1543	P23873	b1508
gene1544	P32051	b4696
gene1545	P77432	b1511
gene1546	P76141	b1512
gene1547	P77257	b1513
gene1548	P77672	b1514
gene1549	P0AFS1	b1515
gene155	P37028	b0158
gene1550	P76142	b1516
gene1551	P76143	b1517
gene1552	P64461	b1518
gene1553	P76145	b1519
gene1554	P76146	b1520
gene1555	P0A6L7	b1521
gene1556	P76147	b1522
gene1557	P76148	b1523
gene1558	P0A6W0	b1524
gene1559	P76149	b1525
gene156	P0AF12	b0159
gene1560	P77309	b1526
gene1561	P76150	b1527
gene1562	P31122	b1528
gene1563	P0AEY1	b1529
gene1564	P27245	b1530
gene1565	P0ACH5	b1531
gene1566	P31121	b1532
gene1567	P31125	b1533
gene1568	P31126	b1534
gene1569	A5A616	b4599
gene157	P15723	b0160
gene1571	P31129	b1535
gene1572	P31130	b1536
gene1573	P31131	b1537
gene1574	P24171	b1538
gene1575	P39831	b1539
gene1576	P0ACM2	b1540
gene1577	P64463	b1541
gene1578	P77260	b1542
gene1579	P77228	b4600
gene158	P0C0V0	b0161
gene1580	P76154	b1544
gene1581	P77170	b1545
gene1582	P76155	b1546
gene1583	P77515	b1547
gene1584	P31061	b1548
gene1585	Q2EES0	b4533
gene1586	P76156	b1549
gene1587	P77695	b1550
gene1588	P76157	b1551
gene1589	P0A986	b1552
gene159	P37047	b0162
gene1590	P76158	b1553
gene1591	C1P601	b4689
gene1592	P76159	b1554
gene1593	P76160	b1555
gene1594	P77237	b1556
gene1595	P36995	b1557
gene1596	P0A976	b1558
gene1597	P76161	b1559
gene1598	P76162	b1560
gene1599	P07010	b1561
gene16	P0ACG4	b4412
gene160	P62768	b0163
gene1600	P0ACG6	b1562
gene1601	P0C077	b1563
gene1602	P0C079	b1564
gene1603	P76163	b1565
gene1604	P77609	b1566
gene1605	P76164	b1567
gene1606	P76165	b1568
gene1607	P06965	b1569
gene1608	P06966	b1570
gene1609	P0ACW8	b1571
gene161	P37049	b0164
gene1610	P29009	b1572
gene1611	P21418	b1573
gene1613	P09557	b1575
gene1614	P29010	b1576
gene1615	Q47138	b1577
gene1616	P0CF60	b1578
gene1617	P76168	b1579
gene1618	P38105	b1580
gene1619	P38104	b1581
gene162	P0A9D8	b0166
gene1620	P76169	b1582
gene1621	P76170	b1583
gene1622	P0A951	b1584
gene1623	P67553	b1585
gene1624	P76172	b1586
gene1625	P77374	b1587
gene1626	P77783	b1588
gene1627	P0AAJ1	b1589
gene1628	P76173	b1590
gene1629	P69853	b1591
gene163	P27249	b0167
gene1630	P76175	b1592
gene1631	P0A6E9	b1593
gene1632	P50456	b1594
gene1633	P77559	b1595
gene1634	P43531	b1596
gene1635	P36560	b1597
gene1636	A5A617	b4601
gene1637	P76176	b1598
gene1638	P69210	b1599
gene1639	P69212	b1600
gene164	P0AE18	b0168
gene1640	P0AFS5	b1601
gene1641	P0AB67	b1602
gene1642	P07001	b1603
gene1643	P76177	b1604
gene1644	P0AAE5	b1605
gene1645	P0AFS3	b1606
gene1646	P0ACX0	b1607
gene1647	P52108	b1608
gene1648	P18392	b1609
gene1649	P16525	b1610
gene1650	P05042	b1611
gene1651	P0AC33	b1612
gene1652	P00946	b1613
gene1653	P77804	b1614
gene1654	Q47706	b1615
gene1655	P0CE44	b1616
gene1656	P05804	b1617
gene1657	P0ACT6	b1618
gene1658	P0AET8	b1619
gene1659	P18811	b1620
gene166	P0A7V0	b0169
gene1660	P19642	b1621
gene1661	P23256	b1622
gene1662	P22333	b1623
gene1663	P77376	b1624
gene1664	P56976	b4409
gene1665	P64467	b1625
gene1666	P76180	b1626
gene1667	P0A766	b1627
gene1668	P77223	b1628
gene1669	P77611	b1629
gene167	P0A6P1	b0170
gene1670	P76182	b1630
gene1671	P77285	b1631
gene1672	P77179	b1632
gene1673	P0AB83	b1633
gene1674	P77304	b1634
gene1675	P0A9D2	b1635
gene1676	P77150	b1636
gene1677	P0AGJ9	b1637
gene1678	P0AFI7	b1638
gene1679	P28224	b1639
gene168	P0A7E9	b0171
gene1680	P77570	b1640
gene1681	P0A905	b1641
gene1682	P0A8W2	b1642
gene1683	P64471	b1643
gene1684	P76185	b1644
gene1685	P76186	b1645
gene1686	P0AGD1	b1646
gene1687	P76187	b1647
gene1688	P64474	b1648
gene1689	P67430	b1649
gene169	P0A805	b0172
gene1690	P77258	b1650
gene1691	P0AC81	b1651
gene1692	P30014	b1652
gene1693	P30015	b1653
gene1694	P0AC69	b1654
gene1695	P76190	b1655
gene1696	P0AGD3	b1656
gene1697	P77389	b1657
gene1698	A5A618	b4602
gene1699	P0ACP7	b1658
gene170	P45568	b0173
gene1700	P0ACR2	b1659
gene1701	P37597	b1660
gene1702	P0A9H7	b1661
gene1703	P0AFU8	b1662
gene1704	P37340	b1663
gene1705	P77552	b1664
gene1708	P0ACX3	b1667
gene1709	P77148	b1668
gene171	P60472	b0174
gene1710	P77147	b1669
gene1711	P77409	b1670
gene1712	P77375	b1671
gene1713	P77564	b1672
gene1714	P76192	b1673
gene1715	P0AAL6	b1674
gene1716	P0ACX5	b1675
gene1717	P0AD61	b1676
gene1718	P69776	b1677
gene1719	P76193	b1678
gene172	P0ABG1	b0175
gene1720	P76194	b1679
gene1721	P77444	b1680
gene1722	P77689	b1681
gene1723	P77499	b1682
gene1724	P77522	b1683
gene1725	P77667	b1684
gene1727	P64476	b1685
gene1728	P77781	b1686
gene1729	P77748	b1687
gene173	P0AEH1	b0176
gene1730	P0AFS7	b1688
gene1732	P76196	b1689
gene1733	P76197	b1690
gene1734	P76198	b1691
gene1735	P0A6D5	b1692
gene1736	P05194	b1693
gene1737	P37766	b1694
gene1738	P0A9U8	b1695
gene1739	P77402	b1696
gene174	P0A940	b0177
gene1740	P76201	b1697
gene1741	P77378	b1698
gene1742	P77337	b1699
gene1743	P77714	b1700
gene1744	P38135	b1701
gene1745	P23538	b1702
gene1746	P0A8A4	b1703
gene1747	P00887	b1704
gene1748	P0ACX9	b1705
gene1749	P77649	b1706
gene175	P0AEU7	b0178
gene1750	P76204	b1707
gene1751	P23898	b1708
gene1752	P06611	b1709
gene1753	P06610	b1710
gene1754	P06609	b1711
gene1755	P0A6X7	b1712
gene1756	P07395	b1713
gene1757	P08312	b1714
gene1758	P0AD74	b1715
gene1759	P0A7L3	b1716
gene176	P21645	b0179
gene1760	P0A7Q1	b1717
gene1761	P0A707	b1718
gene1762	P0A8M3	b1719
gene1763	P76205	b4494
gene1764	Q2EES1	b4535
gene1765	P76206	b1722
gene1766	P06999	b1723
gene1767	P64479	b1724
gene1768	P77739	b1725
gene1769	P76208	b1726
gene177	P0A6Q6	b0180
gene1770	P77247	b1727
gene1771	P64481	b1728
gene1772	P77529	b1729
gene1773	P76210	b1730
gene1774	P0AE60	b1731
gene1775	P21179	b1732
gene1776	P37794	b1733
gene1777	P17411	b1734
gene1778	P17410	b1735
gene1779	P69791	b1736
gene178	P0A722	b0181
gene1780	P17334	b1737
gene1781	P69795	b1738
gene1782	P0ADB1	b1739
gene1783	P18843	b1740
gene1784	P76213	b1741
gene1785	P76214	b1742
gene1786	P77754	b1743
gene1787	P76215	b1744
gene1788	P76216	b1745
gene1789	P76217	b1746
gene179	P10441	b0182
gene1790	P0AE37	b1747
gene1791	P77581	b1748
gene1792	P09030	b1749
gene1793	P76219	b1750
gene1794	P76220	b1751
gene1795	P76221	b1752
gene1796	P76222	b1753
gene1797	P76223	b1754
gene1798	P76224	b1755
gene1799	P76909	b1756
gene18	P13738	b0019
gene180	P10442	b0183
gene1800	P78067	b1757
gene1801	P76226	b1758
gene1802	P77788	b1759
gene1803	P76227	b1760
gene1804	P00370	b1761
gene1805	P76228	b1762
gene1806	P14294	b1763
gene1807	P16456	b1764
gene1808	P0ACY1	b1765
gene1809	P08395	b1766
gene181	P10443	b0184
gene1810	P0A962	b1767
gene1811	P21369	b1768
gene1812	P38055	b1769
gene1813	P77721	b1770
gene1814	P77256	b1771
gene1815	P77493	b1772
gene1816	P77704	b1773
gene1817	P77280	b1774
gene1818	P76230	b1775
gene1819	P77539	b1776
gene182	P0ABD5	b0185
gene1820	P76231	b1777
gene1821	P0A746	b1778
gene1822	P0A9B2	b1779
gene1823	P39173	b1780
gene1824	P76234	b1781
gene1825	P0A908	b1782
gene1826	P0ACY3	b1783
gene1827	P76235	b1784
gene1828	P76236	b1785
gene1829	P76237	b1786
gene183	P52095	b0186
gene1830	P64483	b1787
gene1831	P76239	b1788
gene1832	P0ACY6	b1789
gene1833	P76241	b1790
gene1834	P76242	b1791
gene1835	P76243	b1792
gene1836	P64493	b1793
gene1837	P76245	b1794
gene1838	C1P602	b4676
gene1839	C1P603	b4675
gene184	P52096	b0187
gene1840	P64485	b1795
gene1841	P64496	b1796
gene1842	P64488	b1797
gene1843	P76249	b1798
gene1844	P76250	b1799
gene1845	P76251	b1800
gene1846	P0ABD1	b1801
gene1847	P0ABR7	b1802
gene1848	P76254	b1803
gene1849	P09155	b1804
gene185	P52097	b0188
gene1850	P69451	b1805
gene1851	P0AA91	b1806
gene1852	P76256	b1807
gene1853	P76257	b1808
gene1854	P0AEB7	b1809
gene1855	P64490	b1810
gene1856	P67338	b1811
gene1857	P05041	b1812
gene1858	P43337	b1813
gene1859	P16095	b1814
gene186	P0AFW8	b0189
gene1860	P76261	b1815
gene1861	P0AEC0	b1816
gene1862	P69797	b1817
gene1863	P69801	b1818
gene1864	P69805	b1819
gene1865	P67601	b1820
gene1866	P76264	b1821
gene1867	P36999	b1822
gene1868	P0A9Y6	b1823
gene1869	P64508	b1824
gene187	P0A8K5	b4406
gene1870	P64499	b1825
gene1871	P64512	b1826
gene1872	Q2MB16	b4536
gene1873	P76268	b1827
gene1874	P76269	b1828
gene1875	P23894	b1829
gene1876	P23865	b1830
gene1877	P45577	b1831
gene1878	P76270	b1832
gene1879	P0AD03	b1833
gene188	P0AA97	b0190
gene1880	P76272	b1834
gene1881	P76273	b1835
gene1882	P64503	b1836
gene1883	P76275	b1837
gene1884	P55798	b1838
gene1887	P64506	b1839
gene1888	P76278	b1840
gene1889	P0AA57	b1841
gene189	P40711	b0191
gene1890	P0ABS8	b1842
gene1891	P76280	b1843
gene1892	P0AEK0	b1844
gene1893	P24555	b1845
gene1894	P33218	b1846
gene1895	P33219	b1847
gene1896	P0ACY9	b1848
gene1897	P33221	b1849
gene1898	P0A955	b1850
gene1899	P0ADF6	b1851
gene19	P0A9G2	b0020
gene190	P40710	b0192
gene1900	P0AC53	b1852
gene1901	P46118	b1853
gene1902	P21599	b1854
gene1903	P24205	b1855
gene1904	P0AFS9	b1856
gene1905	P39172	b1857
gene1906	P0A9X1	b1858
gene1907	P39832	b1859
gene1908	P0A812	b1860
gene1909	P0A809	b1861
gene191	P37056	b0193
gene1910	C1P604	b4677
gene1911	P24238	b1862
gene1912	P0A814	b1863
gene1913	P0A8A0	b1864
gene1914	P0AFC0	b1865
gene1915	P21889	b1866
gene1916	P0ADI7	b1867
gene1917	P37348	b1868
gene1918	P64515	b1869
gene1919	P76290	b1870
gene192	P16659	b0194
gene1920	P76291	b1871
gene1921	P46923	b1872
gene1922	P52005	b1873
gene1923	P67826	b1874
gene1924	P52007	b1875
gene1925	P11875	b1876
gene1926	P76296	b1877
gene1927	P76297	b1878
gene1928	P76298	b1879
gene1929	P76299	b1880
gene193	P28634	b0195
gene1930	P0A9H9	b1881
gene1931	P0AE67	b1882
gene1932	P07330	b1883
gene1933	P07364	b1884
gene1934	P07018	b1885
gene1935	P07017	b1886
gene1936	P0A964	b1887
gene1937	P07363	b1888
gene1938	P0AF06	b1889
gene1939	P09348	b1890
gene194	P69411	b0196
gene1940	P0ABY7	b1891
gene1941	P0A8S9	b1892
gene1942	P0CF30	b1893
